movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,aka_title,region,language,log_numVotes,runtime_winsorized,tmdb_match,Unnamed: 0,genre_ids,id_numbers,original_language,original_title,popularity,title,vote_average,vote_count,release_year,log_popularity,combined_score,movie_name_match,id_imdb/tmdb,release_date,movie,production_budget,domestic_gross,worldwide_gross,production_budget_num,domestic_gross_num,worldwide_gross_num,domestic_ratio,worldwide_ratio,profit_num,roi_num,domestic_pct
tt1375666,Inception,2010,148.0,"Action,Adventure,Sci-Fi",8.8,1841066.0,A Origem,BR,Unknown,14.425855852817527,148.0,Inception,4,"[28, 878, 12]",27205,en,Inception,27.92,Inception,8.3,22186,2010,3.364533397290564,18042.8188,Inception,38,2010-07-16,Inception,"$160,000,000","$292,576,195","$835,524,642",160000000.0,292576195.0,835524642.0,1.82860121875,5.2220290125,675524642.0,4.2220290125,35.01706356615153
tt1345836,The Dark Knight Rises,2012,164.0,"Action,Thriller",8.4,1387769.0,A sötét lovag: Felemelkedés,HU,Unknown,14.143208700266248,164.0,The Dark Knight Rises,5182,"[28, 80, 18, 53]",49026,en,The Dark Knight Rises,26.22,The Dark Knight Rises,7.7,13933,2012,3.30395199722332,12730.1006,The Dark Knight Rises,11,2012-07-20,The Dark Knight Rises,"$275,000,000","$448,139,099","$1,084,439,099",275000000.0,448139099.0,1084439099.0,1.6295967236363635,3.9434149054545458,809439099.0,2.9434149054545453,41.3245058586734
tt0816692,Interstellar,2014,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334.0,Bein kokhavim,IL,he,14.077363153089792,166.0,Interstellar,11032,"[12, 18, 878]",157336,en,Interstellar,28.44,Interstellar,8.2,18597,2014,3.3823542938606757,12699.2264,Interstellar,32,2014-11-05,Interstellar,"$165,000,000","$188,017,894","$666,379,375",165000000.0,188017894.0,666379375.0,1.1395023878787878,4.038662878787878,501379375.0,3.038662878787879,28.214842933876817
tt1853728,Django Unchained,2012,165.0,"Drama,Western",8.4,1211405.0,Django,PL,Unknown,14.007292226463722,165.0,Django Unchained,5189,"[18, 37]",68718,en,Django Unchained,21.26,Django Unchained,8.0,15725,2012,3.102791345847399,11433.802,Django Unchained,69,2012-12-25,Django Unchained,"$100,000,000","$162,805,434","$449,948,323",100000000.0,162805434.0,449948323.0,1.62805434,4.49948323,349948323.0,3.49948323,36.18314052478422
tt0848228,The Avengers,2012,143.0,"Action,Adventure,Sci-Fi",8.1,1183655.0,Angaarey Bane Sholey,IN,hi,13.984118511670468,143.0,The Avengers,5179,"[878, 28, 12]",24428,en,The Avengers,50.289,The Avengers,7.6,19673,2012,3.93747630423314,11082.7535,The Avengers,27,2012-05-04,The Avengers,"$225,000,000","$623,279,547","$1,517,935,897",225000000.0,623279547.0,1517935897.0,2.77013132,6.746381764444444,1292935897.0,5.746381764444444,41.06099264348579
tt0848228,The Avengers,2012,143.0,"Action,Adventure,Sci-Fi",8.1,1183655.0,Angaarey Bane Sholey,IN,hi,13.984118511670468,143.0,The Avengers,5179,"[878, 28, 12]",24428,en,The Avengers,50.289,The Avengers,7.6,19673,2012,3.93747630423314,11082.7535,The Avengers,35,1998-08-14,The Avengers,"$60,000,000","$23,385,416","$48,585,416",60000000.0,23385416.0,48585416.0,0.3897569333333333,0.8097569333333333,-11414584.0,-0.1902430666666666,48.13258365432129
tt0993846,The Wolf of Wall Street,2013,180.0,"Biography,Crime,Drama",8.2,1035358.0,A Wall Street farkasa,HU,Unknown,13.850258784442998,166.0,The Wolf of Wall Street,7883,"[80, 18, 35]",106646,en,The Wolf of Wall Street,29.518,The Wolf of Wall Street,7.9,12411,2013,3.418316673469544,9470.404599999998,The Wolf of Wall Street,76,2013-12-25,The Wolf of Wall Street,"$100,000,000","$116,900,694","$389,870,414",100000000.0,116900694.0,389870414.0,1.16900694,3.89870414,289870414.0,2.89870414,29.9844999266859
tt1130884,Shutter Island,2010,138.0,"Mystery,Thriller",8.1,1005960.0,Ashecliffe,US,Unknown,13.82145386149472,138.0,Shutter Island,19,"[18, 53, 9648]",11324,en,Shutter Island,18.06,Shutter Island,8.1,12625,2010,2.947591898226056,9170.901,Shutter Island,52,2010-02-19,Shutter Island,"$80,000,000","$128,012,934","$299,461,782",80000000.0,128012934.0,299461782.0,1.600161675,3.743272275,219461782.0,2.743272275,42.747669884633225
tt2015381,Guardians of the Galaxy,2014,121.0,"Action,Adventure,Comedy",8.1,948394.0,A galaxis őrzői,HU,Unknown,13.762526361122376,121.0,Guardians of the Galaxy,11021,"[28, 878, 12]",118340,en,Guardians of the Galaxy,49.606,Guardians of the Galaxy,7.9,17958,2014,3.924070146338813,9100.6734,Guardians of the Galaxy,14,2014-08-01,Guardians of the Galaxy,"$170,000,000","$333,172,112","$770,867,516",170000000.0,333172112.0,770867516.0,1.9598359529411764,4.5345148,600867516.0,3.5345148,43.220411430594
tt1431045,Deadpool,2016,108.0,"Action,Adventure,Comedy",8.0,820847.0,Deadpool,Unknown,Unknown,13.618093231220945,108.0,Deadpool,17383,"[28, 12, 35]",293660,en,Deadpool,35.067,Deadpool,7.6,20175,2016,3.5853783198457405,8100.076,Deadpool,56,2016-02-12,Deadpool,"$58,000,000","$363,070,709","$801,025,593",58000000.0,363070709.0,801025593.0,6.259839810344827,13.810786086206896,743025593.0,12.810786086206896,45.325731433901886
tt1392190,Mad Max: Fury Road,2015,120.0,"Action,Adventure,Sci-Fi",8.1,780910.0,Mad Max 4,AU,Unknown,13.568216465862225,120.0,Mad Max: Fury Road,14177,"[28, 12, 878]",76341,en,Mad Max: Fury Road,28.099,Mad Max: Fury Road,7.4,14454,2015,3.3707038093258137,7394.967000000001,Mad Max: Fury Road,75,2015-05-15,Mad Max: Fury Road,"$150,000,000","$153,636,354","$370,098,020",150000000.0,153636354.0,370098020.0,1.02424236,2.467320133333333,220098020.0,1.4673201333333334,41.512341514283165
tt2267998,Gone Girl,2014,149.0,"Drama,Mystery,Thriller",8.1,761592.0,Co Gai Mat Tich,VN,Unknown,13.543167571240582,149.0,Gone Girl,11027,"[9648, 53, 18]",210577,en,Gone Girl,31.215,Gone Girl,7.9,10459,2014,3.4724321825906057,6995.1562,Gone Girl,36,2014-10-03,Gone Girl,"$61,000,000","$167,767,189","$368,567,189",61000000.0,167767189.0,368567189.0,2.750281786885246,6.042085065573771,307567189.0,5.042085065573771,45.518753162805275
tt4154756,Avengers: Infinity War,2018,149.0,"Action,Adventure,Sci-Fi",8.5,670926.0,Atriebeji: Bezgalibas kars,LV,Unknown,13.41641561718895,149.0,Avengers: Infinity War,23811,"[12, 28, 14]",299536,en,Avengers: Infinity War,80.773,Avengers: Infinity War,8.3,13948,2018,4.40394711577287,6860.555,Avengers: Infinity War,7,2018-04-27,Avengers: Infinity War,"$300,000,000","$678,815,482","$2,048,134,200",300000000.0,678815482.0,2048134200.0,2.2627182733333333,6.827114,1748134200.0,5.827114,33.143115426713734
tt1392170,The Hunger Games,2012,142.0,"Action,Adventure,Sci-Fi",7.2,795227.0,Agones peinas,GR,Unknown,13.586384144972206,142.0,The Hunger Games,5235,"[878, 12, 14]",70160,en,The Hunger Games,14.212,The Hunger Games,7.1,14587,2012,2.722084590066013,6761.3114000000005,The Hunger Games,38,2012-03-23,The Hunger Games,"$80,000,000","$408,010,692","$677,923,379",80000000.0,408010692.0,677923379.0,5.10013365,8.4740422375,597923379.0,7.4740422375,60.185369709753
tt1675434,The Intouchables,2011,112.0,"Biography,Comedy,Drama",8.5,677343.0,1 + 1,EE,Unknown,13.425934546919898,112.0,The Intouchables,2511,"[18, 35]",77338,fr,Intouchables,15.013,The Intouchables,8.2,9940,2011,2.7734008923403395,6572.4955,Les Intouchables,18,2012-05-25,Les Intouchables,"$10,800,000","$13,182,281","$484,873,045",10800000.0,13182281.0,484873045.0,1.220581574074074,44.89565231481482,474073045.0,43.89565231481482,2.7187077392598717
